grin_accession,flower_color,height,hilum_color,lodging,maturity_group,oil,protein,pubescence_color,seed_quality,seed_weight,yield
PI538397,W,74,Bf,1.8,II,22.5,43.4,G,1.8,16.9,3.2
PI538398,W;W,99,Lbf;Lbf,2.75,I;I,21.4,43.95,G;G,1.8,18.05,2.385
PI538400,W,77,Bf,2,II,20.5,47.3,G,2,15.1,3.58
PI538401A,P,112,Bl,2.2,III,20.05,44.2,T,2.8,13.4,3
PI538401B,P,140,Bl,2,IV,18.8,47.7,T,2.2,12.4,2.18
PI538402A,P,109,Bl,4,V,19.5,42.45,T,3.3,10.9,1.15
PI538402B,W,118,Br,5,VII,18.9,43.6,T,3.3,12.8,0.25
PI538403,W,40,Y,1,I,18.2,44.3,G,1,32.9,1.86
PI538404,P,54,Br,2,0,19.5,41.7,T,1,26.1,1.89
PI538405,W,56,Bl,1.5,I,21,42.05,T,1,28.8,2.2
PI538406,W,34,Lbf,1,0,18.4,40.6,G,1.3,32,1.49
PI538407,W;W,46.5,Lbf;Lbf,1.5,I;I,20.3,40.25,G;G,2.15,31.05,2.15
PI538408,W,37,Lbf,1,0,18.3,42.5,G,1,30.1,1.31
PI538409,P,52,Y,2,I,20.3,40.85,G,1.3,36.4,2.34
PI538410A,W,56,Bf,2,I,19.5,40.7,G,1,31.3,2.48
PI538410B,W,61,Bf,2,I,19.5,40.2,G,1,31.5,2.56
PI538411A,P,NA,Bl,NA,0,11,47.8,T,NA,NA,NA
PI538411B,P,NA,Bl,NA,0,10.4,43.4,T,NA,NA,NA
PI538774,W,NA,Bl,NA,VII,NA,NA,T,NA,NA,NA
PI538781,P,NA,Ib,NA,VIII,NA,NA,G,NA,NA,NA
PI539860,P,83,Y,2,II,18.1,39.2,G,2.2,9.3,3.73
PI539861,P,94,Y,2.5,II,17.8,43.4,G,2,10.2,3.55
PI539862,P;P,91,Y;Y,1.75,I;I,21.05,44.4,G;G,1.65,18.65,2.87
PI539863,P;P,96.5,Y;Y,1.85,I;I,20.15,45.3,G;G,1.5,19.700000000000003,2.835
PI539864,W;W,102,Y;Y,2.65,I;I,20.4,44.9,G;G,1.6,20.6,2.75
PI539865,P;P,97.5,Y;Y,2.65,I;I,19.5,46.3,G;G,1.6,21.8,2.9299999999999997
PI539866,P,79,Y,1,II,20.2,42.6,G,2,25.2,3.36
PI539867,P,72,Y,1.2,III,19.7,44.2,G,2.8,26.4,3.22
PI539936,W,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI540451,P,NA,Br,NA,II,NA,NA,T,NA,NA,NA
PI540452,P,NA,Ib,NA,II,NA,NA,G,NA,NA,NA
PI540453,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI540454,P,NA,Ib,NA,II,NA,NA,G,NA,NA,NA
PI540551,W;W,55,Bl;Bl,1,III;III,22.1,38.5,T;T,2.15,15.45,3.8899999999999997
PI540552,P,47,Bl,1,II,21.4,40.6,T,2.3,13.1,3.32
PI540553,Pm,NA,Bf,NA,II,NA,NA,G,NA,NA,NA
PI540554,P;P,89.5,Bl;Bl,1.5,I;I,21.6,44.3,T;T,1.4,19.200000000000003,3.245
PI540555,W,93,Bf,1.8,IV,21.3,45.6,G,2,16.3,3.37
PI540556,W,102,Y,2,II,19.7,39.3,G,2,14.4,4.45
PI540739,W;W,59.5,Lbr;Lbr,1.75,I;I,19,44.1,T;T,1.5,20.25,2.0999999999999996
PI540740,W,54,Bl,2,I,20.5,41.55,T,1,28.5,2.36
PI540876,W,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI540877,W,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI540880,P,NA,Y,NA,II,NA,NA,G,NA,NA,NA
PI540881,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI540882,W,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI540883,P,NA,Y,NA,II,NA,NA,G,NA,NA,NA
PI540884,W,NA,Bf,NA,IV,NA,NA,G,NA,NA,NA
PI542042,P;P;P,77.33333333333333,Bl;Bl;Bl,1.1666666666666667,I;I;I,20.2666666666667,44.0333333333333,T;T;T,1.7333333333333334,19.3,2.89
PI542043,W,113,Bl,2,III,20.9,45.2,T,2.2,17.7,4.4
PI542044,W,110,Bl,1.5,III,20.9,44.1,T,2.2,18.6,3.87
PI542045,P,54,Lbf,1.2,II,18.4,40.1,G,1.8,7.5,2.74
PI542046,P,76,Lbf,1.2,III,19.1,44.5,G,1.5,10.2,3.41
PI542053,W,NA,Bf,NA,VI,NA,NA,G,NA,NA,NA
PI542055,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI542056,P,NA,Bl,NA,I,NA,NA,T,NA,NA,NA
PI542057,W,NA,Bf,NA,I,NA,NA,G,NA,NA,NA
PI542058,P,NA,Bf,NA,II,NA,NA,G,NA,NA,NA
PI542059,P,NA,G,NA,II,NA,NA,G,NA,NA,NA
PI542060,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI542061,P,NA,Bl,NA,III,NA,NA,T,NA,NA,NA
PI542062,W,NA,Bl,NA,III,NA,NA,T,NA,NA,NA
PI542064,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI542065,P,NA,Br,NA,I,NA,NA,T,NA,NA,NA
PI542067,W,NA,Br,NA,VI,NA,NA,T,NA,NA,NA
PI542071,W,NA,Bl,NA,III,NA,NA,T,NA,NA,NA
PI542392,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI542393,P,NA,Y,NA,I,NA,NA,G,NA,NA,NA
PI542399,P,NA,Bf,NA,I,NA,NA,G,NA,NA,NA
PI542402,W;W,86.5,Bf;Bf,3.25,00;00,18.3,42.85,G;G,1.7,13.399999999999999,2.7249999999999996
PI542403,P;P;P,83,Y;Y;Y,2.5,0;0;0,20.8666666666667,39.9666666666667,G;G;G,2.4,15.133333333333333,2.05
PI542404,P,107,Y,2.5,0,19.9,40.5,G,2.2,16.3,3.38
PI542709,P,98,Ib,1.8,III,22,42.7,G,2,17.5,3.74
PI542710,P,88,Ib,1.2,II,21.7,41.15,G,1.8,19.5,4.15
PI542711,P,92,Bl,1.2,III,20.8,44.5,T,2,14.4,3.86
PI542712,P,90,Bl,2,VI,19.7,41.5,T,2.3,10.4,1.97
PI542768,P;P;P,90.33333333333333,Ib;Ib;Ib,2,II;II;II,20.4333333333333,42.2,G;G;G,1.5333333333333334,17.733333333333334,2.88
PI542769,P,72,Bf,2,0,16.7,47.2,G,1,19.3,2.23
PI542972,W,NA,Bl,NA,VII,NA,NA,T,NA,NA,NA
PI542982,P,NA,Bf,NA,VI,NA,NA,G,NA,NA,NA
PI543793,W,114,Bf,2,IV,20,45.2,G,2,12.7,3.59
PI543794,P;P;P,87.6,Lbr;Lbr;Lbr,1.94,IV;IV;IV,20.2833333333333,42.4666666666667,T;T;T,2.58,16.2,3.034
PI543795,W,62,Bl,1.5,V,20.45,42.75,T,1.8,12.2,3.24
PI543832,W,110,Bl,2.5,VII,20,43.9,T,2.5,12.6,2.49
PI543855,P,99,Ib,1.8,II,19.8,38.1,G,1.8,16,3.51
PI543856,P;P;P;P,60.25,Bl;Bl;Bl;Bl,1.125,IV;IV;IV;IV,19.8,42.05,T;T;T;T,1.775,15.9,3.645
PI543857,P;P,53,Bl;Bl,1.05,II;II,21.4,41.2,T;T,2,15.85,3.5250000000000004
PI543932,P,NA,Br,NA,0,NA,NA,T,NA,NA,NA
PI543933,W,NA,Bf,NA,VIII,NA,NA,G,NA,NA,NA
PI543934,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI543935,W,NA,Bl,NA,VI,NA,NA,T,NA,NA,NA
PI543936,P,NA,Bl,NA,VI,NA,NA,T,NA,NA,NA
PI544354,P;P,68,Bl;Bl,2.5,V;V,20.2666666666667,41.5,T;T,2,11.6,3.13
PI54583,P,86,Ib,3,III,20,43.5,G,2.3,16.6,2.66
PI54591,P,119,Tn,3.8,III,19.8,41.5,T,2.5,13.1,2.39
PI54592,W,112,Bl,3.8,III,21,41.1,T,2.3,13,2.82
PI54600,W,81,Lbf,3,IV,19.3,42,G,2.3,20.2,2.54
PI546038,W;W,83.5,Bf;Bf,1,I;I,21.8,43.3333333333333,G;G,1.6,16,2.8449999999999998
PI546039,P,NA,Br,NA,0,NA,NA,T,NA,NA,NA
PI546040,P,NA,Br,NA,0,NA,NA,T,NA,NA,NA
PI546041,P,NA,Tn,NA,0,NA,NA,G,NA,NA,NA
PI546042,P,NA,Br,NA,0,NA,NA,G,NA,NA,NA
PI546043,P,NA,Y,NA,0,19.1,40.7,G,NA,NA,NA
PI546044,P,NA,Y,NA,0,NA,NA,G,NA,NA,NA
PI546045,W,NA,Y,NA,0,NA,NA,G,NA,NA,NA
PI546046,P,NA,Br,NA,0,21.5,41.4,T,NA,NA,NA
PI546047,P,NA,Br,NA,0,NA,NA,T,NA,NA,NA
PI546048,P,NA,Tn,NA,0,NA,NA,T,NA,NA,NA
PI546049,P,NA,Tn,NA,0,NA,NA,T,NA,NA,NA
PI54604,P,66,Gn,1.8,II,19.5,42.7,G,2.8,16.8,2.09
PI546050,P,NA,Lbr,NA,0,NA,NA,T,NA,NA,NA
PI546051,P,NA,Br,NA,0,NA,NA,T,NA,NA,NA
PI546052,P,NA,Br,NA,0,NA,NA,T,NA,NA,NA
PI546053,P,NA,Br,NA,0,NA,NA,T,NA,NA,NA
PI54606-1,P,119,Gn,3.2,IV,19.3,42.9,T,2.3,13.5,2.86
PI54606-2,W,124,Bf,3,IV,20.9,42.7,G,3,17.8,2.38
PI54607,W,97,Bl,2.5,II,21.6,41.1,Lt,2.8,19.9,2.72
PI54608-1,P,76,Y,1.5,II,20.3,41,G,3.8,13.6,2.13
PI54608-2,P,94,Bl,3.5,III,19.2,42.7,Lt,2.5,15.2,2.45
PI54608-3,W,97,Y,2.5,III,20.9,39.5,G,2.3,20.9,2.41
PI54608-4,W,79,Y,3.3,IV,19.4,42.4,G,3,27.9,1.87
PI54608-5,P,81,Y,3.3,III,21.1,42.2,T,3,19.1,2.64
PI54608,W,91,Bf,2.1,II,22.2,39.5,G,3,19.5,2.7
PI54609,P,89,Y,3.1,III,19.3,43.9,G,2.5,15.6,2.75
PI54610-1,W,112,Bf,3.3,III,20.7,43.1,G,2.3,14.9,2.62
PI54610-4,W,127,Bf,2.7,IV,19.5,45.45,G,2.3,16.4,2.68
PI54610,W,120,Bf,4,VI,19.35,46.7,G,3,14.1,1.03
PI54613,W,74,Y,2.7,III,19.9,44.1,G,2.5,18.9,2.65
PI54614,P,119,Ib,3.8,IV,20.1,44,G,2.3,15.3,2.82
PI54615-1,P,81,Bl,2.6,III,19,44.4,T,2.5,19.7,2.19
PI54615-2,W,117,Bf,2.9,IV,19.7,40.3,G,2.3,17,2.91
PI54615,P,86,Br,2.8,III,20.4,43,T,2.5,14.7,2.51
PI54617,W,124,Br,4.3,IV,19.6,43.2,T,3.3,23.8,2.17
PI54618,W,81,Bf,2.4,III,19.9,41,G,2.3,16.2,2.82
PI54619,W,97,Bf,2.2,II,20.75,41.85,G,2.8,16.9,2.6
PI54620-2,P,97,Br,3.4,III,20.1,42.4,Lt,2,13.3,2.79
PI54620,W,114,Bl,3,III,20.5,43.9,Lt,2,13.2,2.54
PI546373,W,60,Bl,1.1,III,22,39.6,T,2,16.7,3.75
PI546374,W,62,Bl,1.4,III,22.1,40,T,1.5,16.5,3.93
PI546375,P;P,96.5,Y;Y,1.9,II;II,19.95,38.9,G;G,2.5,14.8,3.215
PI546480,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI546487,P;P,94,Ib;Ib,1.6,I;I,20.95,43.25,G;G,1.65,16.700000000000003,3.32
PI547094,W,NA,Y,NA,II,NA,NA,G,NA,NA,NA
PI547402,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547403,P,NA,Bl,NA,IV,22.3,39.4,T,NA,NA,NA
PI547404,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547405,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547406,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547407,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547408,P,NA,G,NA,IV,NA,NA,T,NA,NA,NA
PI547409,P,NA,Bl,NA,IV,22.5,38.9,T,NA,NA,NA
PI547410,P,NA,Br,NA,IV,NA,NA,-,NA,NA,NA
PI547411,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547412,P,NA,Bl,NA,IV,20.2,44.4,-,NA,NA,NA
PI547413,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547414,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547415,P,NA,Bl,NA,IV,20.4,43.8,T,NA,NA,NA
PI547416,P,NA,Bl,NA,II,22.3,41.8,T,NA,NA,NA
PI547417,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547418,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547419,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547420,W,NA,Bl,NA,IV,23,37.6,T,NA,NA,NA
PI547421,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547422,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547423,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547424,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547425,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547426,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547427,P,NA,Bl,NA,IV,19.3,44.6,T,NA,NA,NA
PI547428,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547429,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547430,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547431,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547432,P,NA,Ib,NA,IV,22.2,39.1,G,NA,NA,NA
PI547433,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547434,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547435,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547436,P,NA,Bl,NA,IV,18.7,44.6,T,NA,NA,NA
PI547437,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547438,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547439,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547440,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547441,P,NA,Bl,NA,IV,21.6,40.2,T,NA,NA,NA
PI547442,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547443,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547444,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547445,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547446,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547447,P,NA,Y,NA,IV,NA,NA,T,NA,NA,NA
PI547448,P,NA,Y,NA,IV,NA,NA,T,NA,NA,NA
PI547449,P,NA,Y,NA,IV,NA,NA,-,NA,NA,NA
PI547450,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547451,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547452,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547453,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547454,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547455,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547456,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547457,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547458,P,NA,Bl,NA,IV,21.5,39.6,T,NA,NA,NA
PI547459,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547460,P,NA,Bl,NA,IV,19.1,44.3,T,NA,NA,NA
PI547461,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547462,P,NA,Bl,NA,IV,19.1,43.9,T,NA,NA,NA
PI547463,P,NA,Y,NA,IV,NA,NA,T,NA,NA,NA
PI547464,P,NA,Y,NA,IV,NA,NA,T,NA,NA,NA
PI547465,W,NA,Bf,NA,IV,NA,NA,G,NA,NA,NA
PI547466,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547467,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547468,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547469,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547470,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547471,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547472,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547473,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547474,P,NA,Bl,NA,IV,19.6,40.5,T,NA,NA,NA
PI547475,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547476,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547477,P,NA,Bl,NA,IV,22.1,39.6,T,NA,NA,NA
PI547478,P,NA,Bl,NA,IV,NA,NA,Lt,NA,NA,NA
PI547479,P,NA,Bl,NA,IV,NA,NA,Lt,NA,NA,NA
PI547480,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547481,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547482,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547483,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547484,P,NA,Bl,NA,IV,21.8,41.4,T,NA,NA,NA
PI547485,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547486,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547487,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547488,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547489,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547490,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547491,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547492,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547493,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547494,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547495,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547496,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547497,P,NA,Bl,NA,IV,22.4,39.5,T,NA,NA,NA
PI547498,Nw,NA,Bl,NA,IV,22,39.3,T,NA,NA,NA
PI547499,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547500,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547501,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547502,P,NA,Y,NA,IV,NA,NA,-,NA,NA,NA
PI547503,W,NA,Y,NA,IV,NA,NA,G,NA,NA,NA
PI547504,W,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547505,W,NA,Bf,NA,IV,NA,NA,G,NA,NA,NA
PI547506,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547507,W,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547508,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547509,W,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547510,W,NA,Bf,NA,IV,18.4,47.1,G,NA,NA,NA
PI547511,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547512,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547513,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547514,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547515,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547516,W,NA,Bl,NA,IV,NA,NA,Lt,NA,NA,NA
PI547517,W,NA,Bl,NA,IV,22.2,39,T,NA,NA,NA
PI547518,W,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547519,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547520,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547521,P,NA,Y,NA,IV,NA,NA,T,NA,NA,NA
PI547522,P,NA,Bl,NA,IV,21.8,38.9,T,NA,NA,NA
PI547523,P,NA,Bl,NA,IV,NA,NA,Lt,NA,NA,NA
PI547524,Pth,NA,Bl,NA,IV,19.5,40.7,T,NA,NA,NA
PI547525,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547526,W,NA,Bf,NA,IV,NA,NA,G,NA,NA,NA
PI547527,P,NA,Y,NA,IV,NA,NA,G,NA,NA,NA
PI547528,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547529,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547530,P,NA,Y,NA,IV,21.2,40.7,T,NA,NA,NA
PI547531,P,NA,Bl,NA,IV,19.8,41.7,T,NA,NA,NA
PI547532,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547533,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547534,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547535,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547536,P,NA,Bl,NA,II,23.1,39.9,T,NA,NA,NA
PI547537,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547538,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547539,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547540,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547541,M,NA,Bl,NA,II,20.9,40.3,T,NA,NA,NA
PI547542,P,NA,Ib,NA,II,NA,NA,G,NA,NA,NA
PI547543,P,NA,Bl,NA,II,22.7,40.1,T,NA,NA,NA
PI547544,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547545,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547546,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547547,P,NA,Bl,NA,IV,21,40.6,T,NA,NA,NA
PI547548,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547549,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547550,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547551,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547552,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547553,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547554,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547555,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547556,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547557,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547558,P,NA,Rbr,NA,IV,NA,NA,T,NA,NA,NA
PI547559,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547560,P,NA,Y,NA,IV,NA,NA,T,NA,NA,NA
PI547561,P,NA,Y,NA,IV,NA,NA,T,NA,NA,NA
PI547562,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547563,M,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547564,M,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547565,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547566,P,NA,Gn,NA,IV,NA,NA,-,NA,NA,NA
PI547567,P,NA,Y,NA,II,NA,NA,T,NA,NA,NA
PI547568,P,NA,Y,NA,II,NA,NA,T,NA,NA,NA
PI547569,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547570,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547571,P,NA,Bl,NA,II,NA,NA,T,NA,NA,NA
PI547572,P,NA,Y,NA,IV,NA,NA,G,NA,NA,NA
PI547573,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547574,P,NA,Bl,NA,IV,19.8,43.6,T,NA,NA,NA
PI547575,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547576,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547577,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547578,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547579,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547580,P,NA,Bl,NA,IV,21.3,39.4,T,NA,NA,NA
PI547581,P,NA,Bl,NA,IV,NA,NA,-,NA,NA,NA
PI547582,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547583,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547584,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547585,P,NA,Rbr,NA,IV,NA,NA,T,NA,NA,NA
PI547586,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547587,W,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547588,P,NA,Bl,NA,IV,23.7,38.6,-,NA,NA,NA
PI547589,P,NA,Bl,NA,III,NA,NA,T,NA,NA,NA
PI547590,P,NA,Ib,NA,IV,22.3,39.7,G,NA,NA,NA
PI547591,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547592,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547593,W,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547594,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547595,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547596,P,NA,Br,NA,IV,20.1,42.7,T,NA,NA,NA
PI547597,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547598,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547599,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547600,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547601,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547602,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547603,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547604,P,NA,Br,NA,IV,NA,NA,T,NA,NA,NA
PI547605,P,NA,Y,NA,II,NA,NA,T,NA,NA,NA
PI547606,P,NA,Y,NA,II,NA,NA,T,NA,NA,NA
PI547607,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547608,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547609,P,NA,Bl,NA,II,21.3,42.6,T,NA,NA,NA
PI547610,P,NA,Ib,NA,IV,NA,NA,G,NA,NA,NA
PI547611,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547612,P,NA,Bl,NA,IV,21.1,40.7,T,NA,NA,NA
PI547613,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547614,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547615,P,NA,Bl,NA,IV,20.7,43.7,T,NA,NA,NA
PI547616,P,NA,Bl,NA,IV,19.2,45.4,T,NA,NA,NA
PI547617,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
PI547618,P,NA,Bl,NA,IV,NA,NA,T,NA,NA,NA
