grin_accession,flower_color,height,hilum_color,lodging,maturity_group,oil,protein,pubescence_color,seed_quality,seed_weight,yield
PI153245,P,89,G,3.5,0,20.6,40.4,T,3,17.3,2.7
PI153246,P,76,Y,3.5,0,20,42.9,G,2.5,23.5,2.33
PI153247,P,89,Y,1.7,I,20,39.5,T,3,11.8,1.95
PI153249,P,79,Y,3.5,0,20.2,41.6,G,2.5,19,2.78
PI153250,P,61,Br,1.8,I,20.7,37.7,T,3.5,22.9,1.96
PI153251,P,51,Y,2,0,20,41.1,G,2.5,18.5,1.09
PI153252,P,81,Br,4,0,19.6,40.3,T,3,11.2,2.27
PI153253,P,61,Br,2,I,20.8,39.4,T,3.8,22.1,1.88
PI153255,P,94,Y,2.4,I,20.4,40.5,G,3.3,13.3,2.2
PI153259,P,56,Y,2,0,20.4,41.9,G,3,18.3,1.37
PI153261,P,53,Y,2,0,20.85,42.4,G,3,19.8,1.34
PI153262,P,64,Br,3,0,19.1,41.65,T,2,10.2,1.8
PI153263,P,86,Bl,3,I,18,39.9,Lt,2.5,9.4,1.9
PI153264,W,61,Bl,1.3,II,20.55,39.5,T,2.8,21.6,2.37
PI153265,P,53,Bl,2,0,21.55,39.25,T,2,18.9,1.36
PI153266,P,81,Bl,1.2,I,20.5,38.25,T,2.3,14.7,1.71
PI153267,P,81,Bl,1.5,I,20.5,39,T,3,12.8,2.01
PI153270,W,94,Bl,3.5,0,19.95,41.75,T,2.5,14.6,1.92
PI153271,P,94,Bl,3.3,I,17.8,39.2,Lt,2.3,9.2,2.11
PI153272,W,97,Bl,3,0,18.65,42.6,T,2.5,14.3,2.02
PI153273,W,91,Bl,4,0,18.8,42.65,T,2.5,14.1,1.59
PI153274,W,84,Bl,1.4,I,19.2,37.2,T,2,10.2,1.64
PI153275,W,99,Bl,2.5,0,18.2,42.1,T,2.5,14.1,1.76
PI153276,W,81,Bl,1.7,I,21.1,37.3,T,2,13.5,1.82
PI153277,W,99,Bl,3,0,18.7,41.1,T,2.5,14.9,1.84
PI153278,W,94,Bl,3.5,0,19.25,42.15,T,3,13.8,2
PI153279,W,84,Bl,1.3,I,19.4,36.9,T,1.8,10.5,1.55
PI153280,P,112,Bl,4.3,II,16.8,39.6,T,3,9.9,2.75
PI153281,P,99,Bl,3.5,0,17,45.2,T,2.5,13.2,2.06
PI153282,W,86,Bl,1.4,I,20.4,38.3,T,1.8,10.7,1.69
PI153283,W,86,Bl,1.4,I,19.5,37.2,T,1.5,10.5,1.63
PI153284,W,94,Bl,3,0,18.85,42.6,T,2.5,14.2,2.09
PI153285,P,94,Bl,2.9,I,18.1,39.6,Lt,3,9.7,1.79
PI153286,W,94,Bl,3,0,19.4,40.95,T,2.5,14.7,2.15
PI153287,P,81,Bl,1.9,I,20.3,38.4,T,2.3,12.5,2.07
PI153288,W,61,Bl,1.2,II,20.2,37.9,T,3,21.2,2.12
PI153289,P,99,Bl,4,II,16.95,39.85,T,3,10,2.58
PI153290,P,102,Bl,3.1,I,18.2,40.9,T,2,11.7,2.11
PI153291,P,99,Bl,1.5,I,20.1,38,T,1.5,12.5,2.11
PI153292,P,102,Br,4.8,III,17.6,41.7,T,3,10.4,2.56
PI153293,P,51,Bl,1.5,0,16.3,51.55,T,3.5,17.8,0.73
PI153294,W,71,Bl,1.2,I,22.8,37,T,2,14.7,2.07
PI153296,P,56,Bl,2,0,15.1,52.9,T,4,19.3,0.68
PI153297,P,64,Bl,2,0,14.8,51,T,4,17.8,0.48
PI153299,P,86,G,4,0,20.6,43.1,T,4,14.9,2.66
PI153300,P,69,Br,3.5,0,18.6,38.3,T,2.5,11.2,2.21
PI153301,P,58,Bl,1.5,0,16.35,49.85,T,4,18.5,0.52
PI153302,P,53,Bl,1.5,0,16.8,51.6,T,4,18.5,0.49
PI153303,W,66,Rbr,3,0,17.1,45.2,T,4,21.4,0.92
PI153304,P,76,Br,4,0,19.8,41.95,T,2,14.3,2.58
PI153305,P,74,Br,4,0,19.4,40.1,T,2,12.1,2.04
PI153306,P,99,Bl,4.5,0,21.05,41.25,T,3,20.3,2.86
PI153308,P,61,Br,1.8,I,20.5,37.6,T,3.3,22.2,1.88
PI153309,W,112,Bf,3.1,III,21,41.75,G,2.8,14.4,3.04
PI153310,P,84,Rbr;Rbr,2.5,I,21.8,38.1,T,3,14,2.19
PI153311,P,81,Bl,1.5,I,21.7,36.2,T,2.5,16,2.1
