Cultivar,PI_Num
A43-1715-1,NA
A43-1715-3,NA
A43-176,NA
A43-2015-28,NA
A43-32,NA
A43-33,NA
A43-360-12,NA
A43-61,NA
A43-9,NA
A43-92,NA
A43-93,NA
A43-94,NA
A43K-884,NA
A44-107-12,NA
A44-107-4,NA
A44-107-5,NA
A44-107-7,NA
A44-107-8,NA
A44-108-12,NA
A44-108-6,NA
A44-1128-7,NA
A44-1715-32,NA
A44-2015-3,NA
A44-2728-2,NA
A45-251,NA
A45-268,NA
A45-2683,PI 548502
A4595,PI 556784
A46-440,NA
A46-549,NA
A46K-1011,NA
A46K-1329,NA
A46K-1428-C4,NA
A46K-1801,NA
A46K-549,NA
A46K-937,PI 548516
A47-1953,NA
A47-6102,NA
A47-6103,NA
A47-6323,NA
A47-6402,NA
A47-6520,NA
A47-6629,NA
A47-6831,NA
A47-6905,NA
A4997,PI 556688
A5-7823,NA
A50-4745,PI 548587
A50-5039,PI 548552
A50-6838,NA
A50-7401,NA
A50-7445,NA
A50-7537,NA
A50-8618,NA
A50-8618-1,NA
A50-8618-2,PI 548562
A50K-2206,NA
A50K-3808,NA
A50K-913,NA
A52-4008,NA
A53-6319,NA
A53-7743-1,NA
A54K-1406,NA
A55-4629-4,NA
A55-5515,NA
A55-5629,NA
A55-5629-4,NA
A55-5740,NA
A5547-127,NA
A58-1334,NA
A58-932,NA
A59-1334,NA
A59-619,NA
A59K-2558,NA
A61-1051,PI 548608
A61-439,PI 548540
A61-540,PI 548551
A61-939,PI 548506
A62-5405,PI 548609
A62-5407,PI 548610
A62-5432,NA
A62-5440,NA
A62-5504,NA
A66-1240-2,NA
A66-1441-2,NA
A66-1746-9,NA
A71-555-8-1,NA
A71-5558-1,NA
A72-102,NA
A72-106,NA
A72-107,NA
A72-125,NA
A72-409,NA
A72-507,NA
A72-509,NA
A72-510,NA
A72-511,NA
A72-512,NA
A72-513,NA
A72-520,NA
A72-522,NA
A72-523,NA
A72-525,NA
A73-12013,NA
A73-128,PI 548536
A73-19068,NA
A73-19084,NA
A73-20059,NA
A73-21030,NA
A73-22051,NA
A73-227,PI 548537
A73-229,NA
A73-23066,NA
A73-25050,PI 548616
A73-25088,NA
A73-314,NA
A73D16,NA
A74-101010,NA
A74-101035,NA
A74-102011,NA
A74-102037,NA
A74-104030,NA
A74-104034,NA
A74-105021,NA
A74-201006,NA
A74-201010,PI 548618
A74-202019,NA
A74-203002,NA
A74-204028,NA
A74-204033,NA
A74-204034,NA
A74-302012,PI 548523
A74-302030,NA
A74-303012,PI 548542
A74-303013,PI 548543
A74-304009,NA
A74-304031,NA
A74-306002,NA
A74-306008,NA
A75-101014,NA
A75-101022,NA
A75-102032,PI 548524
A75-103016,NA
A75-103019,NA
A75-105019,NA
A75-105020,NA
A75-105021,NA
A75-105029,NA
A75-105033,NA
A75-105034,NA
A75-10521,NA
A75-10521,NA
A75-203014,NA
A75-203036,NA
A75-204018,NA
A75-302003,NA
A75-302005,PI 548522
A75-302017,NA
A75-305010,NA
A75-305022,NA
A75-305031,NA
A75-306005,NA
A75-332035,NA
A75-Corsoy R3,PI 548617
A75D29,NA
A76-101019,NA
A76-101024,NA
A76-102009,PI 548526
A76-102013,NA
A76-103002,NA
A76-103003,NA
A76-201009,NA
A76-201010,NA
A76-202015,NA
A76-303035,NA
A76-304002,NA
A76-304005,NA
A76-304019,PI 548525
A76-304020,NA
A77-112008,NA
A77-112023,PI 548588
A77-211021,NA
A77-212006,NA
A77-214022,NA
A77-214035,NA
A77-311031,NA
A77-314013,NA
A77-314014,NA
A77-314017,NA
A77-315024,NA
A78-121014,NA
A78-122028,NA
A78-122031,NA
A78-123002,NA
A78-123018,NA
A78-125029,NA
A78-227012,NA
A78-227013,NA
A78-227015,NA
A78-227016,NA
A78-321011,NA
A78-322024,NA
A78-324002,NA
A78-325028,NA
A78-326032,NA
A79-133019,PI 548557
A79-134008,NA
A79-135010,NA
A79-136012,NA
A79-138014,NA
A79-138024,NA
A79-232005,NA
A79-232026,NA
A79-236002,NA
A79-236003,NA
A79-238034,NA
A79-331022,NA
A79-334010,NA
A79-336014,PI 548558
A8,NA
A80-143008,NA
A80-144004,NA
A80-144024,NA
A80-145015,NA
A80-147002,NA
A80-147003,NA
A80-149008,NA
A80-149020,PI 548519
A80-244003,NA
A80-244035,NA
A80-244036,NA
A80-245022,NA
A80-247007,NA
A80-247008,NA
A80-344003,NA
A80-345005,NA
A80-346029,NA
A80-349012,NA
A81-151026,NA
A81-152006,NA
A81-153003,NA
A81-155001,NA
A81-155014,NA
A81-156027,NA
A81-157001,NA
A81-157005,NA
A81-157007,NA
A81-157013,NA
A81-157024,NA
A81-257031,PI 548520
A81-354025,NA
A81-355012,NA
A81-356022,NA
A82-161034,NA
A82-161035,NA
A82-162023,NA
A82-162033,NA
A82-164003,NA
A82-167014,NA
A82-263010,NA
A82-263034,NA
A82-264016,NA
A82-267015,NA
A82-361011,NA
A82-363032,NA
A82-365028,NA
A83-171015,NA
A83-172007,NA
A83-172030,NA
A83-174020,NA
A83-271010,NA
A83-271027,NA
A83-272020,NA
A83-273009,PI 525453
A83-274011,NA
A83-372027,NA
A84-282019,NA
A84-284033,NA
A85-182007,NA
A85-192034,NA
A85-193020,NA
A85-193023,PI 537095
A85-195005,NA
A85-291001,PI 537094
A85-291010,NA
A85-293030,NA
A85-293032,NA
A85-298051,NA
A85-392026,NA
A85-393001,NA
A85-394009,NA
A86-101009,NA
A86-102004,NA
A86-103002,NA
A86-103027,NA
A86-104011,NA
A86-186011,NA
A86-203004,NA
A86-203034,NA
A86-204022,NA
A86-301024,NA
A86-303014,NA
A87-186011,NA
A87-187007,NA
