Female,Male,Cultivar
((Syngenta S14-92*Mack)*(Syngenta S14-92*Lee 74)),(Syngenta S13-46*Mack),PI 556764
Unspecified,Unspecified,CL0911453
Beeson,Williams,PI 556645
Beeson,Cutler,PI 556549
Essex,AP35,PI 556762
MO2050,Asgrow A5474,PI 566936
Williams,Essex,PI 556723
B203,Asgrow A3127,PI 556901
Syngenta S42-30,CM455,PI 578297
Pioneer P9303,Asgrow A4715,J335752
Pioneer P9303,Asgrow A4715,X9842
Pioneer P9303,Asgrow A4715,PI 610443
Fayette (3),Syngenta S14-92,PI 540884
Unspecified,Unspecified,PI 597886
Asgrow A2575,Mack,PI 556846
Swift,Davis,PI 556659
Unspecified,Unspecified,PI 595640
(Mitchell 450*L77-994),Mitchell 410,PI 543934
Unspecified,Unspecified,PI 595641
Pioneer P5482,Asgrow A5474,PI 578888
Essex,Mack,PI 556587
Asgrow A5474,Braxton,PI 578889
Bay,Bedford,PI 556820
Coker 485,(Coker 76-927*Epps),X9060
Coker 485,(Coker 76-927*Epps),PI 560307
Coker 82-645 (3),Pioneer P8571,S59-95
Coker 82-645 (3),Pioneer P8571,PI 590536
Forrest,Hood,PI 556867
Bedford,NA,PI 543936
Hutcheson,(Coker 237*Bedford),PI 595642
Coker 485,(Coker 485*Epps),PI 564526
J77-46,(Coker 136 (3)*Centennial),PI 543935
Unspecified,Unspecified,PI 595643
York,Bedford,PI 578890
Unspecified,Unspecified,PI 595644
Ransom,Pickett 71,PI 556726
Dare,York,PI 556656
Ransom,Pickett 71,PI 556654
Tracy,Hutton,PI 556868
Coker 82-645,(Coker 82-645*D77-6056),H88-2546
Coker 82-645,(Coker 82-645*D77-6056),PI 576149
Asgrow A6297,H6686,PI 607541
Braxton,Coker 368,S83-30
Braxton,Coker 368,PI 543933
(((Wilson (6)*Forrest)*(Perry*(Williams*PI229358)))*Ripley),Disoy,PI 632418
M60-406,(Amsoy (8)*C1253),PI 556574
DPL 415,Asgrow A5980,PI 591050
Bay,(Asgrow A5474*40-3-2),PI 601985
Unspecified,Unspecified,PI 596333
Dare,R64-502,PI 556697
Forrest,D68-4641,PI 556793
Asgrow A5980,DPL 415,PI 564082
Unspecified,Unspecified,PI 565091
Dare,D64-3937,PI 556612
Experimental 128,Experimental 41,PI 556795
(Pershing*Coker 355),(Coker 485*Epps),PI 565092
Coker 686,D7-6103,PI 565093
Coker Hampton 266,Bragg,PI 556516
Experimental 128,Experimental 41,PI 556794
((N64-2451*Dyer)*Pickett 71),Mack,PI 556819
Unspecified,Unspecified,PI 608006
Premier,Vinton,PI 556926
Hark*Wayne,((Hark*Wayne)*Amsoy 71),PI 556642
Unspecified,Unspecified,PI 607581
((Wilson (6)*Forrest)*(Perry*(Williams*PI229358))),Ripley,PI 601984
Hartz 5545,KS4895,PI 639187
Natto,M87-926,PI 607835
Mitchell,Wayne,PI 556562
Beeson,Calland,PI 556497
Unspecified,Unspecified,PI 556706
Unspecified,Unspecified,PI 556933
(Maple Amber*Evans-1-1-10),Council,PI 615586
Bragg,Ransom,PI 556571
06NB204846BC1,(WW221162 (3)*2407D4-AOYN),PI 665486
02RM018047,Asgrow A3244RR2,PI 665483
03JR101916,Asgrow A3244RR2,PI 665484
NE0800097 (2),(WW221162 (3)*2407D4-AOYN),PI 669429
06NB204846BC1,(WW221162 (3)*2407D4-AOYN),PI 665485
